Phân loại;Quận;Phường;Khu vực;Vị trí cụ thể;Điểm đầu;;
"	
Khu vực sạt lở";Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;15.23444257, 108.1763325;;
"	
Khu vực sạt lở";Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;15.20757685, 108.1695898;;
"	
Khu vực sạt lở";Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;15.20587694, 108.1705286;;
"	
Khu vực sạt lở";Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;15.19835747, 108.1699641;;
"	
Khu vực sạt lở";Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;15.19401694, 108.1727621;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.36309045, 108.2288916;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.36226107, 108.2268042;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.36442287, 108.2251578;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.36351046, 108.2247097;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.36165793, 108.224419;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.37126681, 108.2319745;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.37267832, 108.2304763;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.36291107, 108.2275407;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.3615631, 108.2198174;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.36284609, 108.2202472;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.35892592, 108.217812;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.34733, 108.2177348;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.34991323, 108.2100719;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.36343732, 108.2164288;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.3654691, 108.2088486;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.36551856, 108.2138787;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.36350525, 108.2115666;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.36489735, 108.2113351;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.36670798, 108.2081605;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.36711188, 108.211151;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.36428479, 108.2091828;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.34452829, 108.2175922;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.33867522, 108.2137861;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.34644637, 108.2059889;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.35400105, 108.2073376;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.34936759, 108.2039427;;
"	
Khu vực sạt lở";Xã Phước Trà;Xã Phước Trà;Xã Phước Trà;Xã Phước Trà;15.43653566, 108.1083126;;
"	
Khu vực sạt lở";Xã Phước Trà;Xã Phước Trà;Xã Phước Trà;Xã Phước Trà;15.43342539, 108.1106312;;
"	
Khu vực sạt lở";Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;15.43030454, 108.1158941;;
"	
Khu vực sạt lở";Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;15.42922876, 108.1163314;;
"	
Khu vực sạt lở";Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;15.42929236, 108.1157072;;
"	
Khu vực sạt lở";Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;15.4286425, 108.113983;;
"	
Khu vực sạt lở";Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;15.42451798, 108.1199067;;
"	
Khu vực sạt lở";Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;15.42373293, 108.117521;;
"	
Khu vực sạt lở";Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;15.42150713, 108.1219921;;
"	
Khu vực sạt lở";Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;15.42027387, 108.1125809;;
"	
Khu vực sạt lở";Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;15.41744981, 108.1204897;;
"	
Khu vực sạt lở";Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;15.42094717, 108.103385;;
"	
Khu vực sạt lở";Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;15.41649747, 108.1264894;;
"	
Khu vực sạt lở";Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;15.4091293, 108.1300346;;
"	
Khu vực sạt lở";Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;15.40792468, 108.1343103;;
"	
Khu vực sạt lở";Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;15.40994968, 108.1335755;;
"	
Khu vực sạt lở";Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;15.40871957, 108.1350934;;
"	
Khu vực sạt lở";Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;15.40589965, 108.1351102;;
"	
Khu vực sạt lở";Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;Xã Trà Đốc;15.40861824, 108.1381958;;
"	
Khu vực sạt lở";Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;15.42392259, 108.2490744;;
"	
Khu vực sạt lở";Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;15.39546257, 108.2225267;;
"	
Khu vực sạt lở";Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;15.3948146, 108.2197312;;
"	
Khu vực sạt lở";Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;15.39630742, 108.2181863;;
"	
Khu vực sạt lở";Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;15.39689526, 108.2178142;;
"	
Khu vực sạt lở";Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;15.39789289, 108.2322835;;
"	
Khu vực sạt lở";Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;15.3960655, 108.2338931;;
"	
Khu vực sạt lở";Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;15.39048638, 108.2276732;;
"	
Khu vực sạt lở";Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;15.38760981, 108.2300362;;
"	
Khu vực sạt lở";Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;15.38878887, 108.226041;;
"	
Khu vực sạt lở";Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;15.38953931, 108.2257717;;
"	
Khu vực sạt lở";Xã Trà Giáp;Xã Trà Giáp;Xã Trà Giáp;Xã Trà Giáp;15.15466067, 108.2182623;;
"	
Khu vực sạt lở";Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;15.27445615, 108.1018139;;
"	
Khu vực sạt lở";Xã Avương;Xã Avương;Xã Avương;Xã Avương;15.92251545, 107.5239928;;
"	
Khu vực sạt lở";Xã Avương;Xã Avương;Xã Avương;Xã Avương;15.92130809, 107.5175044;;
"	
Khu vực sạt lở";Xã Phước Trà;Xã Phước Trà;Xã Phước Trà;Xã Phước Trà;15.52819917, 108.01677;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.08028479, 108.1017581;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.08040197, 108.1024744;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.08063617, 108.1042141;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.08383574, 108.1043179;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.08478284, 108.1084301;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.0873502, 108.1075105;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.09261718, 108.1125088;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.09315027, 108.1128812;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.09312313, 108.1129184;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.08925804, 108.123782;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.09063203, 108.123513;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.09130079, 108.1236622;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.09203312, 108.1232626;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.11689622, 108.1261891;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.12508263, 108.1303995;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.12562444, 108.1312558;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.12820147, 108.1293779;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.12963047, 108.1277319;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.13496472, 108.1248878;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.13975517, 108.1247138;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.13887133, 108.1211867;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.14073447, 108.1188709;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.14074401, 108.1179031;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.14109671, 108.1175125;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.14620598, 108.1124626;;
"	
Khu vực sạt lở";Xã Trà Tập;Xã Trà Tập;Xã Trà Tập;Xã Trà Tập;15.15720812, 108.1074992;;
"	
Khu vực sạt lở";Xã Trà Tập;Xã Trà Tập;Xã Trà Tập;Xã Trà Tập;15.15666581, 108.1075268;;
"	
Khu vực sạt lở";Xã Trà Tập;Xã Trà Tập;Xã Trà Tập;Xã Trà Tập;15.15613271, 108.1071636;;
"	
Khu vực sạt lở";Xã Trà Tập;Xã Trà Tập;Xã Trà Tập;Xã Trà Tập;15.15525588, 108.1074051;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.15468539, 108.1096289;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.15784833, 108.1106448;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.16103759, 108.1132428;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.16387535, 108.113812;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.16509534, 108.1141942;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.16696529, 108.1161402;;
"	
Khu vực sạt lở";Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;15.02399745, 107.9860588;;
"	
Khu vực sạt lở";Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;15.02194612, 108.0029009;;
"	
Khu vực sạt lở";Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;15.02936617, 108.0162003;;
"	
Khu vực sạt lở";Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;15.02977284, 108.0170559;;
"	
Khu vực sạt lở";Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;15.0319601, 108.0177908;;
"	
Khu vực sạt lở";Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;15.28059598, 108.1311283;;
"	
Khu vực sạt lở";Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;15.28541328, 108.1312989;;
"	
Khu vực sạt lở";Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;15.30125042, 108.1276864;;
"	
Khu vực sạt lở";Xã La Êê;Xã La Êê;Xã La Êê;Xã La Êê;15.60059446, 107.3985647;;
"	
Khu vực sạt lở";Xã Quế Phước;Xã Quế Phước;Xã Quế Phước;Xã Quế Phước;15.65107037, 107.9721562;;
"	
Khu vực sạt lở";Xã Quế Phước;Xã Quế Phước;Xã Quế Phước;Xã Quế Phước;15.66863974, 107.968525;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.08918042, 108.1609836;;
"	
Khu vực sạt lở";Xã Trà Vân;Xã Trà Vân;Xã Trà Vân;Xã Trà Vân;15.10363028, 108.1645669;;
"	
Khu vực sạt lở";Xã Trà Vân;Xã Trà Vân;Xã Trà Vân;Xã Trà Vân;15.10469162, 108.1715546;;
"	
Khu vực sạt lở";Xã Trà Vân;Xã Trà Vân;Xã Trà Vân;Xã Trà Vân;15.10221537, 108.1711991;;
"	
Khu vực sạt lở";Xã Trà Vân;Xã Trà Vân;Xã Trà Vân;Xã Trà Vân;15.09990948, 108.17263;;
"	
Khu vực sạt lở";Xã Trà Vân;Xã Trà Vân;Xã Trà Vân;Xã Trà Vân;15.09782111, 108.1732888;;
"	
Khu vực sạt lở";Xã Trà Vân;Xã Trà Vân;Xã Trà Vân;Xã Trà Vân;15.03945486, 108.2299192;;
"	
Khu vực sạt lở";Xã Trà Vân;Xã Trà Vân;Xã Trà Vân;Xã Trà Vân;15.06445441, 108.2215652;;
"	
Khu vực sạt lở";Xã Trà Vân;Xã Trà Vân;Xã Trà Vân;Xã Trà Vân;15.05300545, 108.2091735;;
"	
Khu vực sạt lở";Xã Trà Vân;Xã Trà Vân;Xã Trà Vân;Xã Trà Vân;15.06506797, 108.2033904;;
"	
Khu vực sạt lở";Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;15.04743838, 108.0808525;;
"	
Khu vực sạt lở";Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;15.04425888, 108.0748802;;
"	
Khu vực sạt lở";Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;15.02696925, 108.0323357;;
"	
Khu vực sạt lở";Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;15.02488168, 108.0299453;;
"	
Khu vực sạt lở";Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;15.02386057, 108.0280759;;
"	
Khu vực sạt lở";Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;15.02329112, 108.0281967;;
"	
Khu vực sạt lở";Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;Xã Trà Linh;15.01867239, 108.0286611;;
"	
Khu vực sạt lở";Xã Trà Leng;Xã Trà Leng;Xã Trà Leng;Xã Trà Leng;15.27358178, 108.0348964;;
